send 0+1 | 1678118430.467666 | 0 | 1
send 0+1 | 1678118430.6704488 | 0 | 2
internal | 1678118430.874898 | 0 | 3
send 1   | 1678118431.0762298 | 0 | 4
internal | 1678118431.279894 | 0 | 5
receive  | 1678118431.4801788 | 0 | 6
internal | 1678118431.6805062 | 0 | 7
internal | 1678118431.8806112 | 0 | 8
internal | 1678118432.081444 | 0 | 9
receive  | 1678118432.2823849 | 0 | 10
internal | 1678118432.484846 | 0 | 11
internal | 1678118432.687851 | 0 | 12
internal | 1678118432.89118 | 0 | 13
